"Klucz","KluczOpakJedn","IdCechy","Wartosc","NrWersji","IdSesji"
"388","2804","105","A2764170","1","2530"
"389","2804","103","327/09/2011","1","2530"
"390","2804","104","A2764169","1","2530"
"391","2807","105","A2764172","1","2530"
"392","2807","103","329/09/2011","1","2530"
"393","2807","104","A2764171","1","2530"
"394","2805","105","A2764174","1","2530"
"395","2805","103","330/09/2011","1","2530"
"396","2805","104","A2764173","1","2530"
"397","2810","105","A2764176","1","2530"
"398","2810","103","333/09/2011","1","2530"
"399","2810","104","A2764175","1","2530"
"400","2803","105","A2764178","1","2530"
"401","2803","103","326/09/2011","1","2530"
"402","2803","104","A2764177","1","2530"
"403","2775","105","A2764180","1","2530"
"404","2775","103","300/09/2011","1","2530"
"405","2775","104","A2764179","1","2530"
"406","2655","105","A2764182","1","2530"
"407","2655","103","160/09/2011","1","2530"
"408","2655","104","A2764181","1","2530"
"409","2651","105","A2764184","1","2530"
"410","2651","103","156/09/2011","1","2530"
"411","2651","104","A2764183","1","2530"
"412","2646","105","A2764186","1","2530"
"413","2646","103","151/09/2011","1","2530"
"414","2646","104","A2764185","1","2530"
"415","2642","105","A2764188","1","2530"
"416","2642","103","147/09/2011","1","2530"
"417","2642","104","A2764187","1","2530"
"418","2639","105","A2764190","1","2530"
"419","2639","103","144/09/2011","1","2530"
"420","2639","104","A2764189","1","2530"
"421","2633","105","A2764192","1","2530"
"422","2633","103","138/09/2011","1","2530"
"423","2633","104","A2764191","1","2530"
"424","2576","105","A2764194","1","2530"
"425","2576","103","131/09/2011","1","2530"
"426","2576","104","A2764193","1","2530"
"427","2484","105","A2764196","1","2530"
"428","2484","103","48/09/2011","1","2530"
"429","2484","104","A2764195","1","2530"
"430","2715","105","A2764198","1","2530"
"431","2715","103","248/09/2011","1","2530"
"432","2715","104","A2764197","1","2530"
"433","2711","105","A2764200","1","2530"
"434","2711","103","208/09/2011","1","2530"
"435","2711","104","A2764199","1","2530"
"436","2717","105","A2764202","1","2530"
"437","2717","103","25009/2011","1","2530"
"438","2717","104","A2764201","1","2530"
"1674","2897","104","A2764047","1","2533"
"1678","2894","105","A2764052","1","2533"
"1679","2894","103","407/09/2011 ","1","2533"
"442","2834","105","A2764206","1","2530"
"443","2834","103","384//09/2011","1","2530"
"444","2834","104","A2764205","1","2530"
"445","2839","105","A2764204","1","2530"
"446","2839","103","388//09/2011","1","2530"
"447","2839","104","A2764203","1","2530"
"448","2829","105","A2764208","1","2530"
"449","2829","103","380/09/2011","1","2530"
"450","2829","104","A2764207","1","2530"
"451","2830","105","A2764210","1","2530"
"452","2830","103","382/09/2011","1","2530"
"453","2830","104","A2764209","1","2530"
"454","2833","105","A2764212","1","2530"
"455","2833","103","383/09/2011","1","2530"
"456","2833","104","A2764211","1","2530"
"457","2835","105","A2764214","1","2530"
"458","2835","103","385/09/2011","1","2530"
"459","2835","104","A2764213","1","2530"
"460","2654","105","A2764216","1","2530"
"461","2654","103","159/09/2011","1","2530"
"462","2654","104","A2764215","1","2530"
"463","2831","105","A2764218","1","2530"
"464","2831","103","379/09/2011","1","2530"
"465","2831","104","A2764217","1","2530"
"466","2832","105","A2764220","1","2530"
"467","2832","103","381/09/2011","1","2530"
"468","2832","104","A2764219","1","2530"
"469","2828","105","A2764222","1","2530"
"470","2828","103","378/09/2011","1","2530"
"471","2828","104","A2764221","1","2530"
"472","2710","105","A2764224","1","2530"
"473","2710","103","207/09/2011","1","2530"
"474","2710","104","A2764223","1","2530"
"475","2719","105","A2764226","1","2530"
"476","2719","103","252/09/2011","1","2530"
"477","2719","104","A2764225","1","2530"
"478","2838","105","A2764228","1","2530"
"479","2838","103","387/09/2011","1","2530"
"480","2838","104","A2764227","1","2530"
"481","2837","105","A2764230","1","2530"
"482","2837","103","386/09/2011","1","2530"
"483","2837","104","A2764229","1","2530"
"484","2653","105","A2764232","1","2530"
"485","2653","103","158/09/2011","1","2530"
"486","2653","104","A2764231","1","2530"
"487","2696","105","A2764234","1","2530"
"488","2696","103","244/09/2011","1","2530"
"489","2696","104","A2764233","1","2530"
"490","2701","105","A2764236","1","2530"
"491","2701","103","281/09/2011","1","2530"
"492","2701","104","A2764235","1","2530"
"493","2709","105","A2764238","1","2530"
"494","2709","103","206/09/2011","1","2530"
"495","2709","104","A2764237","1","2530"
"496","2708","105","A2764240","1","2530"
"497","2708","103","205/09/2011","1","2530"
"498","2708","104","A2764239","1","2530"
"499","2707","105","A2764242","1","2530"
"500","2707","103","204/09/2011","1","2530"
"501","2707","104","A2764241","1","2530"
"502","2721","105","A2764244","1","2530"
"503","2721","103","254/09/2011","1","2530"
"504","2721","104","A2764243","1","2530"
"505","2706","105","A2764246","1","2530"
"506","2706","103","203/09/2011","1","2530"
"507","2706","104","A2764245","1","2530"
"508","2799","105","A2764248","1","2530"
"509","2799","103","322/09/2011","1","2530"
"510","2799","104","A2764247","1","2530"
"511","2734","105","A2764250","1","2530"
"512","2734","103","286/09/2011","1","2530"
"513","2734","104","A2764249","1","2530"
"514","2650","105","A2764252","1","2530"
"515","2650","103","155/09/2011","1","2530"
"516","2650","104","A2764251","1","2530"
"517","2645","105","A2764254","1","2530"
"518","2645","103","150/09/2011","1","2530"
"519","2645","104","A2764253","1","2530"
"520","2641","105","A2764256","1","2530"
"521","2641","103","146/09/2011","1","2530"
"522","2641","104","A2764255","1","2530"
"523","2638","105","A2764258","1","2530"
"524","2638","103","143/09/2011","1","2530"
"525","2638","104","A2764257","1","2530"
"526","2598","105","A2764260","1","2530"
"527","2598","103","197/09/2011","1","2530"
"528","2598","104","A2764259","1","2530"
"529","2675","105","A2764262","1","2530"
"530","2675","103","202/09/2011","1","2530"
"531","2675","104","A2764261","1","2530"
"532","2798","105","A2764264","1","2530"
"533","2798","103","321/09/2011","1","2530"
"534","2798","104","A2764263","1","2530"
"535","2778","105","A2764266","1","2530"
"536","2778","103","303/09/2011","1","2530"
"537","2778","104","A2764265","1","2530"
"538","2781","105","A2764268","1","2530"
"539","2781","103","306/09/2011","1","2530"
"540","2781","104","A2764267","1","2530"
"541","2674","105","A2764270","1","2530"
"542","2674","103","201/09/2011","1","2530"
"543","2674","104","A2764269","1","2530"
"544","2649","105","A2764272","1","2530"
"545","2649","103","154/09/2011","1","2530"
"546","2649","104","A2764271","1","2530"
"547","2637","105","A2764276","1","2530"
"548","2637","103","142/09/2011","1","2530"
"549","2637","104","A2764275","1","2530"
"1918","2087","107","RK karta","1","2541"
"1919","2087","106","56/09/2011","1","2541"
"1932","2212","107","RK ","1","2541"
"1624","2663","105","A2764018","1","2533"
"1625","2663","103","190/09/2011 ?","1","2533"
"1626","2663","104","A2764017","1","2533"
"1648","2671","105","A2764032","1","2533"
"1649","2671","103","198/09/2011 ","1","2533"
"1650","2671","104","A2764031","1","2533"
"559","2712","105","A2764278","1","2530"
"560","2712","103","209/09/2011","1","2530"
"561","2712","104","A2764277","1","2530"
"562","2540","105","A2764280","1","2530"
"563","2540","103","97/09/2011","1","2530"
"564","2540","104","A2764279","1","2530"
"565","2542","105","A2764282","1","2530"
"566","2542","103","95/09/2011","1","2530"
"567","2542","104","A2764281","1","2530"
"568","2547","105","A2764284","1","2530"
"569","2547","103","90/09/2011","1","2530"
"570","2547","104","A2764283","1","2530"
"571","2549","105","A2764286","1","2530"
"572","2549","103","88/09/2011","1","2530"
"573","2549","104","A2764285","1","2530"
"574","2556","105","A2764288","1","2530"
"575","2556","103","83/09/2011","1","2530"
"576","2556","104","A2764287","1","2530"
"577","2544","105","A2764290","1","2530"
"578","2544","103","93/09/2011","1","2530"
"579","2544","104","A2764289","1","2530"
"580","2648","105","A2764292","1","2530"
"581","2648","103","153/09/2011","1","2530"
"582","2648","104","A2764291","1","2530"
"583","2643","105","A2764294","1","2530"
"584","2643","103","148/09/2011","1","2530"
"585","2643","104","A2764293","1","2530"
"586","2636","105","A2764296","1","2530"
"587","2636","103","141/09/2011","1","2530"
"588","2636","104","A2764295","1","2530"
"589","2635","105","A2764298","1","2530"
"590","2635","103","140/09/2011","1","2530"
"591","2635","104","A2764297","1","2530"
"592","2551","105","A2764300","1","2530"
"593","2551","103","86/09/2011","1","2530"
"594","2551","104","A2764299","1","2530"
"595","2619","105","A2764302","1","2530"
"596","2619","103","24/09/2011","1","2530"
"597","2619","104","A2764301","1","2530"
"598","2618","105","A2764304","1","2530"
"599","2618","103","213/09/2011","1","2530"
"600","2618","104","A2764303","1","2530"
"601","2629","105","A2764306","1","2530"
"602","2629","103","222/09/2011","1","2530"
"603","2629","104","A2764305","1","2530"
"604","2620","105","A2764308","1","2530"
"605","2620","103","215/09/2011","1","2530"
"606","2620","104","A2764307","1","2530"
"607","2678","105","A2764310","1","2530"
"608","2678","103","228/09/2011","1","2530"
"609","2678","104","A2764309","1","2530"
"610","2628","105","A2764312","1","2530"
"611","2628","103","221/09/2011","1","2530"
"612","2628","104","A2764311","1","2530"
"613","2617","105","A2764314","1","2530"
"614","2617","103","212/09/2011","1","2530"
"615","2617","104","A2764313","1","2530"
"12296","2733","105","A2770798","1","2972"
"12297","2733","103","","1","2972"
"12298","2733","104","A2770797","1","2972"
"619","2764","105","A2764318","1","2530"
"620","2764","103","271/09/2011","1","2530"
"621","2764","104","A2764317","1","2530"
"622","2768","105","A2764320","1","2530"
"623","2768","103","273/09/2011","1","2530"
"624","2768","104","A2764319","1","2530"
"625","2550","105","A2764322","1","2530"
"626","2550","103","87/09/2011","1","2530"
"627","2550","104","A2764321","1","2530"
"628","2545","105","A2764324","1","2530"
"629","2545","103","92/09/2011","1","2530"
"630","2545","104","A2764323","1","2530"
"631","2552","105","A2764326","1","2530"
"632","2552","103","85/09/2011","1","2530"
"633","2552","104","A2764325","1","2530"
"634","2570","105","A2764328","1","2530"
"635","2570","103","68/09/2011","1","2530"
"636","2570","104","A2764327","1","2530"
"637","2497","105","A2764330","1","2530"
"638","2497","103","61/09/2011","1","2530"
"639","2497","104","A2764329","1","2530"
"640","2572","105","A2764332","1","2530"
"641","2572","103","136/09/2011","1","2530"
"642","2572","104","A2764331","1","2530"
"643","2565","105","A2764334","1","2530"
"644","2565","103","73/09/2011","1","2530"
"645","2565","104","A2764333","1","2530"
"646","2567","105","A2764336","1","2530"
"647","2567","103","71/09/2011","1","2530"
"648","2567","104","A2764335","1","2530"
"649","2560","105","A2764338","1","2530"
"650","2560","103","78/09/2011","1","2530"
"651","2560","104","A2764337","1","2530"
"652","2555","105","A2764340","1","2530"
"653","2555","103","85/09/2011 ?","1","2530"
"654","2555","104","A2764339","1","2530"
"655","2616","105","A2764342","1","2530"
"656","2616","103","211/09/2011 ","1","2530"
"657","2616","104","A2764341","1","2530"
"658","2615","105","A2764344","1","2530"
"659","2615","103","210/09/2011 ","1","2530"
"660","2615","104","A2764343","1","2530"
"661","2621","105","A2764346","1","2530"
"662","2621","103","216/09/2011","1","2530"
"663","2621","104","A2764345","1","2530"
"10498","3466","105","A2771299","1","2845"
"10499","3466","103","","1","2845"
"10500","3466","104","A2771298","1","2845"
"667","2630","105","A2764350","1","2530"
"668","2630","103","223/09/2011","1","2530"
"669","2630","104","A2764349","1","2530"
"8473","10209","128","A2766594","1","2734"
"8486","10216","127","A2769199","1","2734"
"8487","10216","128","A2769200","1","2734"
"673","2676","105","A2764354","1","2530"
"674","2676","103","226/09/2011","1","2530"
"675","2676","104","A2764353","1","2530"
"2162","1784","108","MIKROBIOLOGIA","1","2545"
"2163","1784","109","POCHWY II","1","2545"
"1933","2212","106","63/09/2011","1","2541"
"679","2631","105","A2764356","1","2530"
"680","2631","103","224/09/2011","1","2530"
"681","2631","104","A2764355","1","2530"
"682","2632","105","A2764358","1","2530"
"683","2632","103","225/09/2011","1","2530"
"684","2632","104","A2764357","1","2530"
"685","2626","105","A2764360","1","2530"
"686","2626","103","219/09/2011","1","2530"
"687","2626","104","A2764359","1","2530"
"688","2623","105","A2764362","1","2530"
"689","2623","103","218/09/2011","1","2530"
"690","2623","104","A2764361","1","2530"
"691","2677","105","A2764364","1","2530"
"692","2677","103","227/09/2011","1","2530"
"693","2677","104","A2764363","1","2530"
"694","2794","105","A2764366","1","2530"
"695","2794","103","318/09/2011","1","2530"
"696","2794","104","A2764365","1","2530"
"697","2546","105","A2764368","1","2530"
"698","2546","103","91/09/2011","1","2530"
"699","2546","104","A2764367","1","2530"
"700","2501","105","A2764370","1","2530"
"701","2501","103","65/09/2011","1","2530"
"702","2501","104","A2764369","1","2530"
"703","2502","105","A2764372","1","2530"
"704","2502","103","66/09/2011","1","2530"
"705","2502","104","A2764371","1","2530"
"706","2494","105","A2764374","1","2530"
"707","2494","103","58/09/2011","1","2530"
"708","2494","104","A2764373","1","2530"
"709","2566","105","A2764376","1","2530"
"710","2566","103","72/09/2011","1","2530"
"711","2566","104","A2764375","1","2530"
"712","2503","105","A2764378","1","2530"
"713","2503","103","67/09/2011","1","2530"
"714","2503","104","A2764377","1","2530"
"715","2500","105","A2764380","1","2530"
"716","2500","103","64/09/2011","1","2530"
"717","2500","104","A2764379","1","2530"
"718","2493","105","A2764382","1","2530"
